Row Created Date Time,Metric ID,Description of Metric,Indicator Domain Group,OMH Region,Age Group,Numerator,Denominator,Rate,Year,Quarter,Year to Date Numerator,Year to Date Denominator,Year to Date Rate
7/17/15 8:58,1,Percentage of MH Discharges Followed by an Outpatient Visit for MH Treatment within 7 Days ,MH Ambulatory Follow-Up,02-Central NY,Adult,261,725,0.36,2012,Q1,261,725,0.36
7/17/15 8:58,2,Percentage of MH Discharges Followed by an Outpatient Visit for MH or SUD Treatment within 7 Days ,MH Ambulatory Follow-Up,04-New York City,Youth,282,778,0.362467866,2011,Q4,1109,2874,0.385873347
7/17/15 8:58,3,Percentage of MH Discharges Followed by an Outpatient Visit for MH Treatment within 30 Days,MH Ambulatory Follow-Up,04-New York City,Youth,547,1351,0.40488527,2014,Q1Q2,547,1351,0.40488527
7/17/15 8:58,2,Percentage of MH Discharges Followed by an Outpatient Visit for MH or SUD Treatment within 7 Days ,MH Ambulatory Follow-Up,02-Central NY,Youth,100,213,0.469483568,2012,Q3,372,833,0.446578631
7/17/15 8:58,3,Percentage of MH Discharges Followed by an Outpatient Visit for MH Treatment within 30 Days,MH Ambulatory Follow-Up,02-Central NY,Adult,369,716,0.515363128,2012,Q2,759,1446,0.524896266
7/17/15 8:58,3,Percentage of MH Discharges Followed by an Outpatient Visit for MH Treatment within 30 Days,MH Ambulatory Follow-Up,06-Statewide,Youth,1202,2243,0.535889434,2012,Q2,2527,4708,0.536745964
7/17/15 8:58,2,Percentage of MH Discharges Followed by an Outpatient Visit for MH or SUD Treatment within 7 Days ,MH Ambulatory Follow-Up,04-New York City,Adult,2687,8262,0.325223917,2013,Q1Q2,2687,8262,0.325223917
7/17/15 8:58,4,Percentage of MH Discharges Followed by an Outpatient Visit for MH or SUD Treatment within 30 Days ,MH Ambulatory Follow-Up,03-Hudson River,Adult,1046,1992,0.525100402,2013,Q1Q2,1046,1992,0.525100402
7/17/15 8:58,4,Percentage of MH Discharges Followed by an Outpatient Visit for MH or SUD Treatment within 30 Days ,MH Ambulatory Follow-Up,04-New York City,Youth,711,1439,0.49409312,2013,Q1Q2,711,1439,0.49409312
7/17/15 8:58,1,Percentage of MH Discharges Followed by an Outpatient Visit for MH Treatment within 7 Days ,MH Ambulatory Follow-Up,06-Statewide,Adult,2503,7550,0.331523179,2011,Q4,11114,32212,0.345026698
7/17/15 8:58,4,Percentage of MH Discharges Followed by an Outpatient Visit for MH or SUD Treatment within 30 Days ,MH Ambulatory Follow-Up,04-New York City,Youth,377,648,0.581790123,2011,Q1,377,648,0.581790123
7/17/15 8:58,3,Percentage of MH Discharges Followed by an Outpatient Visit for MH Treatment within 30 Days,MH Ambulatory Follow-Up,05-Long Island,Adult,395,759,0.520421607,2011,Q1,395,759,0.520421607
7/17/15 8:58,4,Percentage of MH Discharges Followed by an Outpatient Visit for MH or SUD Treatment within 30 Days ,MH Ambulatory Follow-Up,06-Statewide,Youth,2297,4123,0.557118603,2013,Q1Q2,2297,4123,0.557118603
7/17/15 8:58,1,Percentage of MH Discharges Followed by an Outpatient Visit for MH Treatment within 7 Days ,MH Ambulatory Follow-Up,03-Hudson River,Adult,407,1057,0.385052034,2012,Q2,855,2203,0.388107127
7/17/15 8:58,2,Percentage of MH Discharges Followed by an Outpatient Visit for MH or SUD Treatment within 7 Days ,MH Ambulatory Follow-Up,02-Central NY,Youth,293,680,0.430882353,2013,Q1Q2,293,680,0.430882353
7/17/15 8:58,2,Percentage of MH Discharges Followed by an Outpatient Visit for MH or SUD Treatment within 7 Days ,MH Ambulatory Follow-Up,01-Western NY,Adult,463,978,0.473415133,2010,Q4,2047,4063,0.503814915
7/17/15 8:58,3,Percentage of MH Discharges Followed by an Outpatient Visit for MH Treatment within 30 Days,MH Ambulatory Follow-Up,02-Central NY,Youth,131,225,0.582222222,2011,Q1,131,225,0.582222222
7/17/15 8:58,3,Percentage of MH Discharges Followed by an Outpatient Visit for MH Treatment within 30 Days,MH Ambulatory Follow-Up,03-Hudson River,Youth,410,702,0.584045584,2011,Q2,807,1393,0.579325197
7/17/15 8:58,1,Percentage of MH Discharges Followed by an Outpatient Visit for MH Treatment within 7 Days ,MH Ambulatory Follow-Up,03-Hudson River,Youth,537,1316,0.408054711,2013,Q3Q4,1017,2502,0.40647482
7/17/15 8:58,4,Percentage of MH Discharges Followed by an Outpatient Visit for MH or SUD Treatment within 30 Days ,MH Ambulatory Follow-Up,02-Central NY,Youth,139,236,0.588983051,2011,Q3,455,740,0.614864865
7/17/15 8:58,2,Percentage of MH Discharges Followed by an Outpatient Visit for MH or SUD Treatment within 7 Days ,MH Ambulatory Follow-Up,01-Western NY,Youth,214,445,0.480898876,2014,Q1Q2,214,445,0.480898876
7/17/15 8:58,4,Percentage of MH Discharges Followed by an Outpatient Visit for MH or SUD Treatment within 30 Days ,MH Ambulatory Follow-Up,06-Statewide,Adult,7226,15941,0.453296531,2014,Q1Q2,7226,15941,0.453296531
7/17/15 8:58,4,Percentage of MH Discharges Followed by an Outpatient Visit for MH or SUD Treatment within 30 Days ,MH Ambulatory Follow-Up,05-Long Island,Adult,338,595,0.568067227,2012,Q2,643,1204,0.534053156
7/17/15 8:58,3,Percentage of MH Discharges Followed by an Outpatient Visit for MH Treatment within 30 Days,MH Ambulatory Follow-Up,03-Hudson River,Youth,743,1316,0.564589666,2013,Q3Q4,1390,2502,0.555555556
